Проект,,,
Дата,,23.11.2024,
Тестировщик,,Раскина Татьяна,
Предусловия,,"Открыт сайт https://www.youtube.com/
Загружено видео для тестирования плеера",
Окружение,,"ОС - MacOs Sonoma (Версия 14.4.1)
браузер-Google Chrome (версия 124.0.6367.201)",
Вид тестрования,,Функциональное,
Номер,Проверки,Статус,Комментарий
1,"Проверка базовой функциональности воспроизведения
",,
, Воспроизведение видео при нажатии на кнопку «Play».,,
, Пауза видео при нажатии на кнопку «Pause».,,
,Возобновление воспроизведения после паузы.,,
,Остановка видео в конце воспроизведения.,,
2,"Проверка регулировки звука
 ",,
,Регулировка громкости с помощью ползунка.,,
,Полное отключение звука при нажатии на значок «Mute».,,
,Включение звука после отключения,,
3,"Проверка полосы прокрутки и перемотки
",,
,Перемотка видео вперед с помощью полосы прокрутки.,,
,Перемотка видео назад с помощью полосы прокрутки.,,
,Обновление видео после перемотки.,,
4,"Проверка полноэкранного режима
 ",,
,Переход в полноэкранный режим при нажатии на значок «Full Screen».,,
,Выход из полноэкранного режима.,,
,Сохранение качества воспроизведения при переключении в полноэкранный режим.,,
5,"Проверка качества воспроизведения
 ",,
,Изменение качества видео через меню настроек.,,
,Корректное отображение видео при изменении качества.,,
,Плавное воспроизведение без заметных задержек или артефактов,,
6,"Проверка субтитров
 ",,
,Включение субтитров с помощью нажатия на значок.,,
,Отображение субтитров на экране.,,
,Отключение субтитров.,,
7,"Проверка скорости воспроизведения
",,
,"Изменение скорости воспроизведения (например, 0.5x, 1.5x, 2x).",,
,Корректное воспроизведение видео при измененной скорости.,,
8,"Проверка кнопки «Next» и «Previous»
 ",,
,Переход к следующему видео в плейлисте.,,
,Переход к предыдущему видео.,,
9,"Проверка работы автоплей
 
",,
,Начало воспроизведения следующего видео в плейлисте при включенном автоплей.,,
,Остановка автоплей при его отключении.,,
10,"Проверка работы мини-плеера
 ",,
,Свертывание видео в мини-плеер при выполнении других действий на сайте.,,
,Воспроизведение видео в мини-плеере.,,
,Закрытие мини-плеера.,,
